"#" ; "Data prevista" ; "Tipo" ; "Aulas/peso" ; "Qtde Aulas Síncronas" ; "Conteúdo previsto"


"1" ; "12/08/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Apresentação da disciplina."
"2" ; "16/08/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "A invenção da PC."
"3" ; "19/08/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Arquiteturas paralelas."
"4" ; "23/08/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Introdução à Programação Paralela."
"5" ; "26/08/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Assíncrono: Atividade."
"6" ; "30/08/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Decomposição."
"7" ; "02/09/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Mapeamento."
"8" ; "06/09/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Escalonamento."
"9" ; "09/09/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Modelos."
"10" ; "13/09/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Palestra DevParaná na Estrada"
"11" ; "16/09/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Ferramentas."
"12" ; "20/09/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Avaliação de desempenho."
"13" ; "23/09/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Assíncrono: Simulado."
"14" ; "27/09/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Revisão Prova 1."
"1ª" ; "30/09/2022" ; "Sexta" ; "Avaliação" ; "3,00" ; "" ; "Prova 1"
"15" ; "30/09/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Prova 1."
"16" ; "04/10/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Definição dos seminários."
"17" ; "07/10/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Memória Compartilhada."
"" ; "11/10/2022" ; "Terça" ; "" ; "" ; "" ; "Semana de Planejamento"
"" ; "14/10/2022" ; "Sexta" ; "" ; "" ; "" ; "Semana de Planejamento"
"3ª" ; "18/10/2022" ; "Terça" ; "Avaliação" ; "1,00" ; "" ; "CCH1"
"18" ; "18/10/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Pthreads."
"19" ; "21/10/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Assíncrono: Prática Pthreads."
"20" ; "25/10/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Semana Acadêmica."
"21" ; "28/10/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Semana Acadêmica."
"22" ; "01/11/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Prática Pthreads."
"23" ; "04/11/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Java Threads."
"24" ; "08/11/2022" ; "Terça" ; "Aula normal" ; "2" ; "0" ; "Assíncrono: Prática Java Threads."
"25" ; "11/11/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Prática Java Threads."
"" ; "15/11/2022" ; "Terça" ; "" ; "" ; "" ; "Proclamação da República"
"26" ; "18/11/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Passagem de Mensagens."
"27" ; "22/11/2022" ; "Terça" ; "Aula normal" ; "2" ; "0" ; "Assíncrono: Simulado."
"28" ; "25/11/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Assíncrono: Acompanhamento CCH"
"29" ; "29/11/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Revisão Prova 2."
"30" ; "02/12/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Assíncrono: Defesas de TCC s do Curso."
"2ª" ; "06/12/2022" ; "Terça" ; "Avaliação" ; "3,00" ; "" ; "Prova 2"
"31" ; "06/12/2022" ; "Terça" ; "Aula normal" ; "2" ; "2" ; "Prova 2."
"4ª" ; "09/12/2022" ; "Sexta" ; "Avaliação" ; "2,00" ; "" ; "CCH2"
"32" ; "09/12/2022" ; "Sexta" ; "Aula normal" ; "2" ; "0" ; "Assíncrono: Apresentação dos trabalhos."
"5ª" ; "13/12/2022" ; "Terça" ; "Avaliação" ; "1,00" ; "" ; "Atividades"
"33" ; "13/12/2022" ; "Terça" ; "Aula normal" ; "2" ; "0" ; "Assíncrono: Apresentação dos trabalhos."
"34" ; "16/12/2022" ; "Sexta" ; "Aula normal" ; "2" ; "2" ; "Reavaliação."
"35" ; "20/12/2022" ; "Terça" ; "Aula normal" ; "2" ; "0" ; "Assíncrono: Finalização da Disciplina."